"¿Has escuchado o visto alguna promoción llamada ""Night Sale"" de fybeca.com?","Según tu conocimiento, ¿cuándo aplica la promoción Night Sale de fybeca.com?","¿Has comprado en fybeca.com durante Night Sale?","¿Con qué frecuencia compras aprovechando Night Sale?","¿Por cuál de estos canales has generado más compras durante Night Sale?","¿Cómo calificarías tu experiencia de compra durante la Night Sale? ¿Por qué?","Del 1 al 5, ¿qué tanto recomendarías a alguien comprar en Night Sale?","¿Por qué no has comprado en Night Sale?",Ciudad:
No,,,,,,,,Guayaquil
Sí,Martes,No,,,,,"Porq no las visito mucho",Quito
No,,,,,,,,"La Maná"
No,,,,,,,,Quito
Sí,Martes,Sí,"Todos los martes",Web,Satisfactoria,5,,Quito
Sí,Viernes,No,,,,,"No he tenido dinero",Ambato
Sí,Martes,Sí,"Todos los martes",App,"Muy satisfactoria",5,,Quito
No,,,,,,,,Quito
No,,,,,,,,Naranjito
Sí,Martes,Sí,"Todos los martes",Web,"Muy satisfactoria",4,,quito
No,,,,,,,,Quito
Sí,Jueves,No,,,,,"Falta de tiempo",Quito
No,,,,,,,,"SALINAS, SANTA ELENA"
No,,,,,,,,Quito
No,,,,,,,,Quito
Sí,Martes,No,,,,,"No conocía",Guayaquil
No,,,,,,,,Quito
No,,,,,,,,Guayaquil
No,,,,,,,,Quito
Sí,Viernes,Sí,"Una vez al mes",Web,"Muy satisfactoria",5,,Guayaquil
No,,,,,,,,Quito
No,,,,,,,,Otavalo
Sí,Martes,Sí,Ocasionalmente,Web,"Muy satisfactoria",5,,Guayaquil
No,,,,,,,,Ecuador
No,,,,,,,,Esmeraldas
Sí,Sábados,No,,,,,"No he tenido la oportunidad",Guayaquil
Sí,Viernes,No,,,,,"Porque yo no vivo en la ciudad","El triunfo guayas"
Sí,Martes,No,,,,,"No he tenido tiempo",Quito
No,,,,,,,,Ambato
Sí,Martes,Sí,"Una vez al mes",App,"Muy satisfactoria",5,,Ibarra
No,,,,,,,,Guayaquil
Sí,Miércoles,No,,,,,"Porq más he comprado pañales y medicinas para mi hijo","El coca"
No,,,,,,,,Quito
No,,,,,,,,"Guayaquil ecuador"
No,,,,,,,,Macuma
No,,,,,,,,Macuma
Sí,Miércoles,Sí,"Todos los martes",App,Satisfactoria,5,,Guayaquil
Sí,Domingos,Sí,Ocasionalmente,Web,"Muy satisfactoria",5,,Quito
No,,,,,,,,Quito
No,,,,,,,,"La maná"
No,,,,,,,,Guayaquil
Sí,Viernes,Sí,"Todos los martes",Web,"Muy satisfactoria",5,,Quito
No,,,,,,,,Guayaquil
No,,,,,,,,Montecristi
Sí,Lunes,No,,,,,"Porq no etenido como conprar","Canton ventana"
Sí,Jueves,Sí,"Una vez al mes",App,Satisfactoria,3,,Guayaquil
No,,,,,,,,Durán
No,,,,,,,,Guayaquil
No,,,,,,,,Cuenca
No,,,,,,,,Quito
No,,,,,,,,Milagro
No,,,,,,,,Guayaquil
Sí,Domingos,No,,,,,"Por qué no he tenido dinero",Quito
Sí,Martes,Sí,Ocasionalmente,Web,Satisfactoria,4,,Quito
Sí,Martes,Sí,"Todos los martes",App,"Muy satisfactoria",5,,Pichincha
Sí,Lunes,Sí,"Todos los martes",App,"Muy satisfactoria",5,,Pichincha
Sí,Jueves,Sí,"Una vez al mes",Web,"Muy satisfactoria",5,,Guayaquy
No,,,,,,,,Guayas
No,,,,,,,,Guayaquil
No,,,,,,,,Guayaquil
Sí,Martes,No,,,,,"Por desconfianza",Durán
No,,,,,,,,Quito
No,,,,,,,,Quito
No,,,,,,,,Guayaquil
Sí,Martes,No,,,,,"Primera vez que me sale",Cuenca
Sí,Martes,Sí,Ocasionalmente,Web,"Muy satisfactoria",3,,Milagro
No,,,,,,,,Guayaquil
No,,,,,,,,Ecuador
No,,,,,,,,Quito
No,,,,,,,,Quito
Sí,Lunes,Sí,"Todos los martes",Web,Regular,5,,Esmeralda
No,,,,,,,,"Santo Domingo"
No,,,,,,,,Samborondòn
No,,,,,,,,Guayaquil
Sí,Martes,No,,,,,"Porque no he tenido dinero esos días",Guayaquil
No,,,,,,,,Quito
No,,,,,,,,Ecuador
Sí,Viernes,No,,,,,"Por que recién escucho",Naranjito
Sí,Lunes,Sí,"Todos los martes",Web,"Muy satisfactoria",5,,"Santo domingo"
No,,,,,,,,Playas
No,,,,,,,,Quito0994913994
No,,,,,,,,Quito
Sí,Martes,Sí,"Todos los martes",Web,Satisfactoria,5,,Quito
Sí,Lunes,Sí,Ocasionalmente,App,Satisfactoria,5,,Quito
Sí,Martes,No,,,,,"Voy a comprar en sus locales, tengo uno que queda a dos minutos de mi casa",Quito
No,,,,,,,,Guayaquil
No,,,,,,,,Quito
Sí,Jueves,Sí,Ocasionalmente,Web,Satisfactoria,5,,Guayaquil
No,,,,,,,,Guayaquil
No,,,,,,,,Otavalo
No,,,,,,,,Otavalo
No,,,,,,,,Guayaquil
No,,,,,,,,Quito
No,,,,,,,,Guayaquil
No,,,,,,,,Guayaquil
Sí,Jueves,No,,,,,"Cuando sale estoy trabajando y no tengo tiempo",Portoviejo
No,,,,,,,,Guayaquil
No,,,,,,,,Quito
No,,,,,,,,Quito
No,,,,,,,,Otavalo
No,,,,,,,,SAMBORONDON
Sí,Miércoles,Sí,"Una vez al mes",Web,Regular,5,,Ecuador
No,,,,,,,,"Guayaquil ppl"
Sí,Martes,No,,,,,"Porque no e tenido la oportunidad",Guayaquil
No,,,,,,,,Ecuador
No,,,,,,,,Ecuador
No,,,,,,,,Guastay
No,,,,,,,,Guayaquil
No,,,,,,,,Quito
No,,,,,,,,Quito
No,,,,,,,,Ambato
Sí,Martes,Sí,Ocasionalmente,Web,Regular,5,,Cayambe
No,,,,,,,,Guayaquil
No,,,,,,,,"Santa Rosa"
Sí,Viernes,Sí,"Una vez al mes",Web,Satisfactoria,4,,Quito
No,,,,,,,,Guayaquil
Sí,Martes,Sí,"Todos los martes",App,"Muy satisfactoria",5,,Quito
No,,,,,,,,Otavalo
Sí,Martes,Sí,Ocasionalmente,Web,Satisfactoria,5,,Quito
Sí,Martes,Sí,Ocasionalmente,App,Satisfactoria,3,,Guayaquil
No,,,,,,,,Quito
No,,,,,,,,Guayaquil
Sí,Martes,Sí,"Una vez al mes",Web,"Muy satisfactoria",5,,Quito
No,,,,,,,,Guayaquil
No,,,,,,,,Milagro
No,,,,,,,,Milagro
Sí,Viernes,Sí,"Una vez al mes",App,"Muy satisfactoria",5,,Guayaquil
Sí,Sábados,No,,,,,"Porque no he puedo atención a las promociones",Quito
No,,,,,,,,Guayaquil
No,,,,,,,,Ecuador
No,,,,,,,,QUITO
No,,,,,,,,Quito
No,,,,,,,,Guayas
No,,,,,,,,Quito
No,,,,,,,,Naranjal
No,,,,,,,,Quito
No,,,,,,,,Quito
No,,,,,,,,Quito
Sí,Martes,Sí,"Una vez al mes",Web,"Muy satisfactoria",5,,Quito
No,,,,,,,,Guayaquil
Sí,Martes,Sí,Ocasionalmente,App,"Muy satisfactoria",5,,Guayaquil
No,,,,,,,,Guayaquil
No,,,,,,,,Guayaqyil
No,,,,,,,,Quito
No,,,,,,,,Quito
Sí,Martes,Sí,Ocasionalmente,App,Satisfactoria,5,,Quito
Sí,Domingos,No,,,,,"Me resulta mejor las comprar en persona porque no tienen los productos en línea en stock","Sangster robles"
No,,,,,,,,Daule
Sí,Martes,Sí,Ocasionalmente,Web,Satisfactoria,5,,Quito
No,,,,,,,,QUITO
No,,,,,,,,QUITO
No,,,,,,,,Quito
No,,,,,,,,Quito
No,,,,,,,,"Quito Ecuador"
No,,,,,,,,Quito
No,,,,,,,,"Sucua morona santiago"
No,,,,,,,,"Sucua morona santiago"
No,,,,,,,,Guayaquil
Sí,Martes,Sí,"Una vez al mes",App,"Muy satisfactoria",5,,Latacunga
No,,,,,,,,Samborondón
No,,,,,,,,"Chávez Cujilan"
No,,,,,,,,Guayaquil
No,,,,,,,,Guayaquil
No,,,,,,,,Quito
No,,,,,,,,Quito
No,,,,,,,,Quito
No,,,,,,,,Guayaquil
Sí,Jueves,Sí,Ocasionalmente,App,Satisfactoria,4,,Quito
No,,,,,,,,Quito
No,,,,,,,,Quito
